time,open,high,low,close,tick_volume,spread,real_volume,mma_20
2022-05-25,110580.0,111006.0,109699.0,110580.0,1710523,0,1074222800,107169.15
2022-05-26,110577.0,112102.0,110389.0,111890.0,2081298,0,1307933600,107267.7
2022-05-27,111890.0,112441.0,111558.0,111942.0,1641451,0,997923400,107471.0
2022-05-30,111944.0,112690.0,110656.0,111032.0,1338534,0,728447300,107690.65
2022-05-31,111036.0,111903.0,110686.0,111351.0,1853000,0,1581443700,107931.8
2022-06-01,111351.0,111931.0,110822.0,111360.0,1871243,0,979277735,108082.6
2022-06-02,111363.0,112709.0,111218.0,112393.0,1726151,0,1004733237,108437.05
2022-06-03,112392.0,112392.0,110935.0,111102.0,1524504,0,875670350,108735.4
2022-06-06,111102.0,111935.0,110015.0,110186.0,1265288,0,821214936,109082.2
2022-06-07,110185.0,110435.0,109394.0,110070.0,1593409,0,946588441,109430.2
2022-06-08,110067.0,110142.0,108045.0,108368.0,1670640,0,1037969541,109628.75
2022-06-09,108367.0,108510.0,107068.0,107094.0,1853174,0,1196122039,109699.05
2022-06-10,107091.0,107092.0,104648.0,105481.0,2170907,0,1284029241,109626.9
2022-06-13,105476.0,105478.0,101700.0,102598.0,2255803,0,1384221835,109345.15
2022-06-14,102598.0,103328.0,101325.0,102063.0,1990801,0,1156247038,109008.85
2022-06-15,102068.0,103952.0,102047.0,102807.0,2404351,0,1602485140,108836.85
2022-06-17,102800.0,102801.0,98402.0,99825.0,2451516,0,1894104649,108477.85
2022-06-20,99824.0,100481.0,98409.0,99853.0,4596674,0,3285192636,108046.1
2022-06-21,99854.0,101069.0,99167.0,99685.0,1877325,0,1107340537,107513.05
2022-06-22,99678.0,100374.0,98050.0,99522.0,1737956,0,1167501034,106960.1
2022-06-23,99523.0,100232.0,97775.0,98080.0,1809126,0,1239901935,106335.1
2022-06-24,98081.0,99313.0,98031.0,98672.0,1734682,0,1034143639,105674.2
2022-06-27,98673.0,101106.0,98672.0,100764.0,1608839,0,989550436,105115.3
2022-06-28,100766.0,102237.0,99956.0,100591.0,1690034,0,1050114842,104593.25
2022-06-29,100592.0,101313.0,99218.0,99622.0,1699392,0,1044800135,104006.8
2022-06-30,99619.0,99619.0,97758.0,98542.0,2233077,0,1458826036,103365.9
2022-07-01,98542.0,99340.0,97231.0,98954.0,1938647,0,1161020539,102693.95
2022-07-04,98952.0,99353.0,98264.0,98609.0,1078960,0,627904242,102069.3
2022-07-05,98608.0,98608.0,96499.0,98295.0,1960610,0,1335855338,101474.75
2022-07-06,98294.0,99141.0,97423.0,98719.0,1925115,0,1334702442,100907.2
2022-07-07,98722.0,101420.0,98722.0,100730.0,1933595,0,1270048437,100525.3
2022-07-08,100732.0,101577.0,99958.0,100289.0,1395885,0,973023135,100185.05
2022-07-11,100282.0,100282.0,97854.0,98212.0,1468787,0,889280639,99821.6
2022-07-12,98212.0,98737.0,97253.0,98271.0,1687232,0,1256521434,99605.25
2022-07-13,98258.0,98928.0,97403.0,97881.0,1769337,0,1220833837,99396.15
2022-07-14,97879.0,97879.0,95431.0,96121.0,1745887,0,1257857836,99061.85
2022-07-15,96119.0,96971.0,95267.0,96551.0,1585203,0,1134231036,98898.15
2022-07-18,96553.0,98291.0,96553.0,96916.0,1497789,0,1074187136,98751.3
2022-07-19,96920.0,98346.0,96917.0,98245.0,1582732,0,1030425832,98679.3
2022-07-20,98244.0,98366.0,97277.0,98287.0,1696383,0,1294140636,98617.55
2022-07-21,98286.0,99057.0,97088.0,99033.0,1557556,0,1005979434,98665.2
2022-07-22,99034.0,99724.0,98321.0,98925.0,1448433,0,1003203643,98677.85
2022-07-25,98926.0,100508.0,98925.0,100270.0,1419895,0,862134130,98653.15
2022-07-26,100270.0,100753.0,99365.0,99772.0,1433987,0,913690538,98612.2
2022-07-27,99773.0,101471.0,99772.0,101438.0,1588150,0,1026275944,98703.0
2022-07-28,101437.0,102686.0,101045.0,102597.0,1714811,0,1112964745,98905.75
2022-07-29,102597.0,103990.0,102514.0,103165.0,1895887,0,1294228438,99116.3
2022-08-01,103165.0,103318.0,101764.0,102225.0,1852086,0,1161864038,99297.1
2022-08-02,102225.0,103660.0,101694.0,103362.0,1587259,0,1012361637,99550.45
2022-08-03,103362.0,103878.0,102822.0,103775.0,1811589,0,1237933242,99803.25
2022-08-04,103777.0,106162.0,103777.0,105892.0,2319863,0,1550238037,100061.35
2022-08-05,105893.0,107176.0,105518.0,106472.0,1892106,0,1294705038,100370.5
2022-08-08,106473.0,108489.0,106473.0,108402.0,1985970,0,1267439232,100880.0
2022-08-09,108403.0,109331.0,107842.0,108651.0,1869280,0,1217464334,101399.0
2022-08-10,108658.0,110362.0,108657.0,110236.0,2169446,0,1338862935,102016.75
2022-08-11,110236.0,111310.0,109604.0,109718.0,2197227,0,1494367838,102696.6
2022-08-12,109718.0,112764.0,109718.0,112764.0,2265926,0,1870198834,103507.25
2022-08-15,112767.0,113214.0,111067.0,113032.0,2373446,0,1555534936,104313.05
2022-08-16,113034.0,113626.0,112690.0,113512.0,1839291,0,1298625345,105076.4
2022-08-17,113508.0,114146.0,112483.0,113708.0,2202775,0,1465268933,105847.45
2022-08-18,113708.0,114376.0,113304.0,113813.0,1779576,0,1064381637,106586.45
2022-08-19,113807.0,113807.0,111146.0,111496.0,1941932,0,1267843436,107215.0
2022-08-22,111487.0,111487.0,109858.0,110501.0,1669980,0,1101439935,107726.55
2022-08-23,110504.0,112965.0,110503.0,112857.0,1718241,0,1188817434,108380.8
2022-08-24,112856.0,113888.0,112632.0,112898.0,1787311,0,1376032533,108953.8
2022-08-25,112898.0,114156.0,112768.0,113532.0,1627691,0,1183799234,109500.55
2022-08-26,113533.0,114091.0,111978.0,112299.0,1596147,0,1115927431,109957.25
2022-08-29,112296.0,113222.0,111689.0,112323.0,1503823,0,979517939,110462.15
2022-08-30,112323.0,112869.0,110103.0,110431.0,1703131,0,1194133643,110815.6
